date,AEC,AEE,AEN,AEP,AEU,AEZ,AGL,ALH,ALI,ALR,ALS,ALU,AMA,AMB,AMF,AMG,AMP,AMR,AMS,AMY,AMZ,APG,AUA,AUG,AZA,AZB,AZD,AZH,AZK,AZL,AZM,AZN,AZO,AZS,AZT,AZY,KOE
1/2/2015,0.010745,,0.012313,0.012184,0.015157,,0.050355,0.074337,0.019142,0.030727,0.05166,0.0141,0.048676,0.021291,0.011306,0.038666,0.034033,0.020189,0.011126,0.028216,0.010174,0.014281,,0.027943,0.028048,0.050213,0.039864,0.061398,0.047338,0.033849,0.025765,0.010097,0.023633,0.010802,0.011063,0.02082,
1/5/2015,0.010787,,0.012324,0.012206,0.015285,,0.05056,0.075141,0.019233,0.0305,0.051828,0.014183,0.04883,0.021364,0.011357,0.038694,0.03404,0.019976,0.011166,0.028233,0.010214,0.014277,,0.027662,0.028176,0.050418,0.039868,0.062136,0.047547,0.033864,0.025751,0.010136,0.023352,0.010848,0.011115,0.020945,
1/6/2015,0.010829,,0.012337,0.0122,0.015375,,0.050732,0.075637,0.019425,0.030019,0.051955,0.014239,0.04916,0.021514,0.011433,0.03843,0.034053,0.019828,0.01122,0.028045,0.010292,0.014277,,0.027469,0.028386,0.050586,0.039606,0.062408,0.047898,0.033881,0.025587,0.010211,0.023177,0.010898,0.011197,0.021066,
1/7/2015,0.010851,,0.012343,0.012155,0.015347,,0.050705,0.075407,0.019432,0.02977,0.051977,0.014227,0.049285,0.021566,0.011464,0.038491,0.034064,0.019743,0.011241,0.028084,0.010326,0.014282,,0.027358,0.028475,0.050598,0.03966,0.06228,0.048049,0.0339,0.025632,0.010243,0.023199,0.010917,0.011226,0.021094,
1/8/2015,0.010893,,0.012351,0.012205,0.015497,,0.050871,0.076129,0.019565,0.029755,0.0521,0.014298,0.049522,0.021673,0.011527,0.038313,0.034074,0.019511,0.011284,0.027956,0.010195,0.01431,,0.027058,0.028641,0.050801,0.039443,0.062806,0.04832,0.033908,0.025505,0.010117,0.023228,0.010964,0.011289,0.021225,
1/9/2015,0.010884,,0.012358,0.012232,0.015494,,0.050882,0.076163,0.019666,0.030183,0.052103,0.0143,0.04954,0.021685,0.011529,0.038044,0.034097,0.019488,0.011286,0.027772,0.010194,0.014319,,0.027016,0.028651,0.050802,0.039167,0.062812,0.048337,0.033929,0.025305,0.010117,0.023039,0.010967,0.011291,0.021228,
1/12/2015,0.010912,,0.012367,0.012244,0.015546,,0.050974,0.076483,0.019931,0.029974,0.052175,0.014331,0.049668,0.021743,0.011567,0.03795,0.034107,0.019401,0.011313,0.027698,0.010225,0.014336,,0.026902,0.028746,0.050946,0.039065,0.06308,0.048499,0.033946,0.025239,0.010146,0.022991,0.011,0.011339,0.021311,
1/13/2015,0.010924,,0.012366,0.012258,0.015579,,0.051028,0.076715,0.019939,0.029608,0.052186,0.014349,0.049743,0.02177,0.011584,0.037904,0.034114,0.019316,0.011326,0.027664,0.010321,0.014337,,0.026785,0.028793,0.051083,0.039034,0.063452,0.048582,0.03395,0.025218,0.010235,0.022961,0.011021,0.011364,0.021385,
1/14/2015,0.010931,,0.012366,0.012217,0.015479,,0.050902,0.07611,0.019735,0.029974,0.052124,0.014299,0.049743,0.021767,0.011576,0.03828,0.034122,0.019385,0.011319,0.027922,0.010313,0.014333,,0.026886,0.028785,0.050964,0.039382,0.06293,0.048566,0.033955,0.025461,0.010228,0.022952,0.01101,0.011354,0.021342,
1/15/2015,0.010977,,0.012372,0.012204,0.015534,,0.050979,0.076234,0.019449,0.029504,0.052227,0.014319,0.049943,0.02187,0.011639,0.03823,0.03413,0.019243,0.011363,0.027897,0.010424,0.014337,,0.026696,0.028936,0.051054,0.039367,0.062962,0.04881,0.033963,0.02545,0.01033,0.022878,0.011048,0.011419,0.021434,
